DS,Variable,Stack,Row span,Col span,Envelope,Alias,Samples
codacuda,BUIL-B36-VA-DEU-IU10:HX0010-KQ2-A-STATE,1.1,,,,,
codacuda,BUIL-B36-VA-DEU-IU11:HX0011-KQ2-A-STATE,1.1,,,, ,
codacuda,BUIL-B36-VA-DEU-IU12:HX0012-KQ2-A-STATE,1.2,,,, ,
codacuda,BUIL-B36-VA-DEU-IU2:HX0002-KQ2-A-STATE,1.2,,,, ,
codacuda,BUIL-B36-VA-DEU-IU3:HX0003-KQ2-A-STATE,1.3,,,, ,
codacuda,BUIL-B36-VA-DEU-IU4:HX0004-KQ2-A-STATE,1.3,,,, ,
codacuda,BUIL-B36-VA-DEU-IU5:HX0005-KQ2-A-STATE,1.4,,,, ,
codacuda,BUIL-B36-VA-DEU-IU9:HX0009-KQ2-A-STATE,1.4,,,, ,
codacuda,BUIL-B36-VA-RT-RT2:CL0002-KQ2-A-STATE,1.5,,,, ,
codacuda,BUIL-B38-PD:MAH0001-AT-A-STATE,2.1,,,,,
codacuda,BUIL-B38-PD:MAH0001-AT-HFS,2.1,,,,,
codacuda,BUIL-B38-PD:MAH0001-AT-STATE,2.1,,,, ,
codacuda,BUIL-B38-PD:MT0001-TT-A-STATE,2.2,,,, ,
codacuda,BUIL-B38-PD:MT0001-TT-HFS,2.2,,,,,
codacuda,BUIL-B38-PD:MT0001-TT-STATE,2.3,,,, ,
codacuda,BUIL-B38-PD:MT0002-TT-A-STATE,2.3,,,,,
codacuda,BUIL-B38-PD:MT0002-TT-HFS,2.4,,,,,
codacuda,BUIL-B38-PD:MT0002-TT-STATE,2.4,,,, ,
codacuda,BUIL-SYSM-COM-4503-BU:SRV3603-NRBPS,2.5,,,, ,
codacuda,CTRL-SYSM-COM-4501-AS:SRV3603-NRBPS,2.5,,,,,
codacuda,CTRL-SYSM-COM-4501-AS:SRV3604-NRBPS,3.1,,,, ,
codacuda,CTRL-SYSM-COM-4501-DS:SRV3601-NRBPS,3.1,,,, ,
codacuda,CTRL-SYSM-COM-4501-DS:SRV3601-NSBPS,3.1,,,, ,
codacuda,UTIL-HV-LC03:TC1000-IT01,3.2,,,,,
